day,week,month,complete
0.6923,0.4681,0.4834,0.4946
0.4809,0.3914,0.37,0.4381
0.5867,0.3265,0.3427,0.3692
0.7193,0.382,0.3919,0.4211
0.4133,0.3335,0.3424,0.3644
0.8207,0.797,0.6582,too high
