day,week,month,complete
6.99%,6.62%,6.9%,6.87%
6.25%,6.54%,6.27%,6.21%
6.81%,5.53%,5.99%,5.91%
7.88%,7.41%,7.88%,7.48%
4.94%,5.39%,5.62%,5.42%
too high,too high,too high,too high
