day,week,month,complete
1.992,1.4766,1.4688,1.5157
1.11,0.9491,1.0026,0.9805
1.4761,1.2413,1.2117,1.3099
1.8801,1.3378,1.3136,1.53
1.3897,1.1463,1.1199,1.2118
0.8207,0.797,0.6582,too high
