day,week,month,complete
20.2%,19.84%,20.17%,25.9%
14.33%,14.81%,15.95%,18.09%
18.27%,19.78%,19.73%,25.11%
22.91%,24.44%,24.77%,36.86%
16.71%,17.59%,17.48%,22.17%
too high,too high,too high,too high
