day,week,month,complete
7.45%,7.8%,8.22%,8.93%
6.38%,6.06%,6.1%,5.99%
6.96%,6.45%,6.63%,7.15%
8.02%,8.98%,8.96%,9.8%
5.25%,6.09%,6.19%,6.42%
too high,too high,too high,too high
