day,week,month,complete
0.7397,0.5788,0.6008,0.7215
0.4869,0.3733,0.3711,0.452
0.6,0.4002,0.3964,0.4949
0.724,0.4854,0.4641,0.5976
0.4469,0.3909,0.3879,0.4695
0.8206,0.797,0.6582,too high
