day,week,month,complete
0.8588,0.5521,0.5395,0.4419
0.7673,0.6321,0.585,0.55
0.985,0.5831,0.6095,0.5127
1.1742,0.536,0.5343,0.4492
0.8425,0.6349,0.6426,0.5151
1.7525,1.5065,1.2294,0.5483
