day,week,month,complete
6.69%,6.44%,6.51%,6.37%
6.65%,7.05%,6.5%,6.5%
7.42%,6.19%,6.92%,6.36%
6.73%,6.73%,7.16%,6.85%
5.88%,6.62%,6.57%,5.99%
too high,too high,too high,too high
