day,week,month,complete
7.52%,7.69%,7.77%,6.92%
7.05%,6.25%,6.45%,6.21%
6.52%,7.24%,7.71%,6.37%
8.83%,10.03%,9.77%,9.15%
5.96%,6.64%,6.75%,5.45%
too high,too high,too high,too high
