day,week,month,complete
2.7269,2.0413,2.0507,4.0484
1.9432,1.5502,1.5377,3.2492
2.2246,1.8113,1.7192,3.6693
2.7337,1.9841,1.8715,4.0192
2.1488,1.7385,1.7104,3.5252
0.8207,0.797,0.6582,too high
