day,week,month,complete
26.88%,26.61%,27.34%,39.65%
24.54%,23.23%,23.52%,33.16%
26.76%,27.82%,27.12%,40.79%
32.45%,34.51%,33.91%,56.39%
25.43%,25.65%,25.74%,37.47%
40.8%,40.73%,40.97%,too high
