day,week,month,complete
0.9272,0.5753,0.6022,0.5175
0.4189,0.3726,0.3641,0.3658
0.6409,0.3607,0.3616,0.3541
0.8751,0.4511,0.4619,0.445
0.4711,0.3513,0.3558,0.3415
0.8207,0.797,0.6582,too high
