day,week,month,complete
9.07%,7.87%,8.39%,8.66%
5.27%,6.13%,6.05%,6.07%
7.46%,5.97%,6.17%,6.38%
9.7%,8.65%,9.11%,9.86%
5.47%,5.63%,5.83%,5.92%
too high,too high,too high,too high
